Bovine_OF,Bovine_OEV,Feline_OEV,Porcine_OEV,Dunnart_OF,Equine_OF,Human_OF,Canine_OF
DCTN2,,DES,Ddah2,BCCIP,CETN2,,E2QWU2
DCTN4,,DGKA,DDB1,BCKDHB,KRT10A,,J9NUH6
DCUN1D1,,DGKE,ddost,BCL10,RPS13,,E2R985
DCXR,,DHRS7,Ddx17,BCL2L1,UBE2V1,,F1PGJ3
DDAH2,,DHX15,DDX19A,BCLAF1,UFD1,,J9NSW5
DDB1,,DHX9,Ddx39b,BICD2,SBDS,,E2R416
DDX1,,DIAPH1,Ddx3x,BIN1,VCAN,,E2QUA8
DDX17,,DKC1,Ddx6,BIN2,RAP1B,,J9P923
DDX19A,,DLD,Defa-rs12,BIRC6,HPX,,E2QWY5
DDX39B,,DLG1,Denr,BLMH,GNAS,,P99504
DDX3X,,DLST,DGKZ,BLVRA,TUBB,,E2QWY6
DDX5,,DNAH1,DHRS11,BLVRB,RPL18A,,E2QUA5
DDX6,,DNAH12,DHX30,BOLA1,TUBB4B,,E2QYD8
DENR,,DNAH17,DHX9,BPGM,APEX1,,J9NT91
DES,,DNAH2,DIAPH1,BPHL,PTGR1,,F1PFF2
DGKB,,DNAH3,DIAPH2,BPNT1,PSMB9,,F1Q0R0
DGKZ,,DNAH5,dicer1,BRAF,LGALS3BP,,E2R4H4
DHRS11,,DNAH6,DIP2B,BRAT1,RPS25,,E2RBP8
DHX15,,DNAH9,DLEC1,BRCC3,ENSECAG00000024343,,F6UXI8
DHX30,,DNAI1,Dlg1,BROX,DHDH,,F1PCQ3
DHX9,,DNAI2,DLG3,BTF3L4,IPO7,,F1PRK3
DIAPH1,,DNAJA1,DLGAP4,BUB3,PI4KA,,E2RKQ1
DIAPH2,,DNAJA2,DLST,BUD31,RAB7A,,E2RGR9
DIP2B,,DNAJA4,DMBT1,BZW1,RPL32,,F1PDY8
DLG1,,DNAJB1,Dmxl1,BZW2,ENSECAG00000039673,,O97556
DLG3,,DNAJB11,Dmxl2,C1H5orf22,HRG,,E2R9R2
DLGAP4,,DNAJB13,DNAAF1,C1H8orf37,MLLT6,,F1PHR2
DMXL1,,DNAJB3,DNAH1,C1H9orf64,RPS6,,F1Q1X9
DNAAF1,,DNAJB6,DNAH10,C1QBP,CTPS2,,E2R9R1
DNAH1,,DNAJC3,DNAH11,C1RL,ALPL,,F1PDY2
DNAH10,,DNM1,DNAH12,C1S,SERPINB5,,J9P101
DNAH11,,DNM2,DNAH2,C2CD5,OTUB1,,E2RA50
DNAH12,,DNM3,DNAH3,C2H20orf27,DNPH1,,F1Q219
DNAH17,,DNPEP,DNAH5,C3,UBB,,P61162
DNAH3,,DPCD,DNAH6,C3H11orf54,DNAH5,,J9NWL3
DNAH5,,DPP7,DNAH7,C3H1orf174,RPL35,,F1PL92
DNAH6,,DPYSL2,DNAH9,C4BPA,EPPK1,,F1PL93
DNAH7,,DPYSL3,DNAI2,C4H1orf87,XPO1,,E2RLU1
DNAI1,,DSC2,DNAJA1,C4H6orf132,RPS16,,F1PL97
DNAI2,,DSEL,Dnaja2,C5,NACA,,E2RRW0
DNAJA1,,DSG1,DNAJA4,C5H12orf10,DIAPH1,,J9NSE8
DNAJA2,,DSG2,Dnajb1,C6,VBP1,,F6XQD6
DNAJA4,,DSP,DNAJB11,C7,LARS1,,E2RDN1
DNAJB1,,DSTN,Dnajb13,C9,RPL7,,J9NTK5
DNAJB11,,dydc2,DNAJB6,CA3,USP14,,E2R856
DNAJB13,,DYNC1H1,DNAJC10,CA8,ENSECAG00000038332,,E2RGI4
DNAJB6,,DYNC1I2,DNAJC13,CAB39,ALDH3B1,,J9JHD4
DNAJC10,,DYNC2H1,DNAJC2,CAB39L,PFN2,,L7N0M4
DNAJC13,,DYNLL1,DNAJC7,CACNA2D1,SEPTIN2,,F1PXQ9
DNAJC2,,DYNLRB1,DNAL1,CACYBP,RAB5C,,E2R917
DNAJC3,,DYNLRB2,Dnali1,CAD,SYNCRIP,,J9P3P8
DNAJC7,,EBNA1BP2,Dnm1l,CADM1,PSMC2,,F1P8L7
DNAL1,,ECH1,DOCK1,CALD1.1,RDX,,F1PVS7
DNALI1,,ECHS1,DOCK6,CALM3,TSN,,F1PEK5
DNM1L,,ECI1,DOCK7,CALR,PLTP,,E2REU6
DNM2,,EEA1,DOCK9,CALU,LANCL1,,F1PY69
DNM3,,EEF1A2,Dopey1,CAMK1,DPCD,,F1PN69
DNPEP,,EEF1B2,DOPEY2,CAMK2G,RBM12,,J9NX45
DOCK1,,EEF1D,DPCD,CAND2,NUDT5,,F6XXM1
DOCK7,,EEF1G,DPM1,CANX,GPX2,,F1Q1Q0
DOCK9,,EEF2,Dpp6,CAP1,OLA1,,E2RCF9
DPCD,,EFHC1,DPP8,CAP2,CUL3,,E2R9U8
DPP8,,EFHC2,Dpyd,CAPG,KIF5B,,J9NTD9
DPYD,,EFHD2,DRC1,CAPN1,PSMB7,,J9PAS2
DPYSL2,,EFTUD2,DRG1,CAPN2,CMBL,,E2RMZ3
DPYSL3,,EHD1,DRG2,CAPN5,RSPH4A,,Q28250
DRC1,,EHD2,DSC1,CAPNS1,ENSECAG00000041817,,J9P746
DRG1,,EHD3,DSCR3,CAPRIN1,EIF3A,,E2RLA8
DRG2,,EIF2B5,DSG1,CAPZA1,MDH2,,L7N0J8
DSC2,,EIF2S1,DSP,CAPZB,GMPPB,,E2RLA2
DSG2,,EIF2S3,DSTN,CARM1,CAPZA2,,E2R8U8
DSP,,EIF3D,DYNC1H1,CARMIL1,PLIN3,,F1PI25
DSTN,,EIF3E,Dync1i2,CARS1,FKBP3,,E2RPG9
DYNC1H1,,EIF3H,Dync1li1,CASC1,ENSECAG00000010622,,F1PPF7
DYNC1I2,,EIF3I,DYNC1LI2,CASP3,PSAT1,,E2QZA8
DYNC1LI1,,EIF3L,DYNC2H1,CASP7,NIT2,,F1PP40
DYNC1LI2,,EIF4A1,Dynll1,CASP9,SRM,,F1PTY1
DYNLL1,,EIF4A2,Dynlrb2,CAST,RNH1,,F1PSK3
DYNLRB1,,EIF4A3,Dynlt1,CAT,RBP5,,F1PLT8
DYNLRB2,,EIF5A,dyrk1a,CAV3,HINT1,,J9NRJ1
DYNLT1,,EIF5A2,Ece1,CAVIN1,RPS8,,E2RTA3
DYRK1A,,ELAVL1,ECM29,CAVIN2,CSRP1,,F1Q3W0
EDC4,,EMD,EDC4,CAVIN3,TBCD,,F1PZ37
EEA1,,EMP1,EEA1,CBFB,HNRNPDL,,A0A140T8E0
EEF1A1,,ENDOD1,EEF1A1,CBL,MEAK7,,E2R0B6
EEF1A2,,ENKUR,EEF1E1,CBS,PSMD7,,P18067
EEF1D,,ENO1,EEF2,CBWD1,GPS1,,J9JHV8
EEF1E1,,ENO3,EEPD1,CBX3,TXNL1,,F1PXX5
EEF1G,,ENPP3,EFCAB7,CBX5,ENSECAG00000002541,,F1PGD7
EEF2,,EPB41,Efhc1,CC2D1A,ACP1,,P24406
EFCAB7,,EPCAM,EFR3A,CC2D2A,MIF,,E2RKA8
EFHD2,,EPHX1,EFR3B,CCAR1,EEF1D,,E2R8R8
EFR3A,,EPHX2,Eftud2,CCAR2,PFDN5,,A0A1W2NC67
EFTUD2,,EPRS,EHD1,CCDC103,ENSECAG00000020699,,E2RS49
EHD1,,EPS8L1,EHD2,CCDC186,TXNDC17,,F1PQS0
EHD2,,ERAP1,EHD4,CCDC22,CUL5,,F1PQS3
EHD3,,ERGIC1,Eif2ak4,CCDC25,SRI,,F1PQS2
EHD4,,ERICH3,EIF2B2,CCDC39,RRM1,,F1Q253
EIF2AK4,,ERLIN1,EIF2B3,CCDC40,SNX5,,E2R3D3
EIF2B2,,ERLIN2,Eif2b4,CCDC6,PDAP1,,E2R674
EIF2B3,,ERO1A,EIF2B5,CCDC78,AOX1,,J9NTR8
EIF2B4,,ERP29,Eif2s1,CCDC93,GNAI2,,E2RND8
EIF2B5,,ERP44,EIF2S2,CCM,RPL26,,E2R0L9
EIF2S1,,ESCO2,Eif2s3x,CCS,GART,,Q9GL21
EIF2S2,,ESD,EIF3A,CCT2,SARNP,,E2QUJ4
EIF2S3,,ESYT1,Eif3b,CCT4,AP2A2,,F1PFK0
EIF3A,,ESYT2,EIF3C,CCT5,RPL13A,,J9P2Z5
EIF3B,,ETFA,Eif3d,CCT7,PHPT1,,E2R578
EIF3C,,ETFB,Eif3e,CCT8,COPS3,,E2R574
EIF3D,,ETHE1,EIF3F,CD109,NIBAN2,,F1PFK8
EIF3E,,EWSR1,EIF3G,CD151,ARHGDIB,,F1PU47
EIF3F,,EZR,EIF3H,CD2AP,AMDHD2,,E2R573
EIF3G,,F13A1,Eif3i,CD2BP2,GNB4,,F1P9Z8
EIF3H,,F13B,EIF3J,CD5L,DYNLRB2,,F1PYQ2
EIF3I,,F2,EIF3K,CD63,MARCKSL1,,F1PYQ1
EIF3J,,FABP3,EIF3L,CD82,MAP4,,F1P6Q0
EIF3K,,FABP5,Eif3m,CD9,ENSECAG00000008928,,J9P3R3
EIF3L,,FAM129B,Eif4a1,CDA,DISC1,,E2RB32
EIF3M,,fam166b,Eif4a2,CDC123,GALK1,,F1PG69
EIF4A1,,FAM181A,Eif4a3,CDC37,S100A10,,E2RPN5
EIF4A2,,FAM213A,EIF4G1,CDC42,GUCY1A1,,E2RB31
EIF4A3,,FAM92B,EIF4G2,CDC42BPB,NAP1L1,,E2RPN3
EIF4G1,,FARP1,EIF4G3,CDC5L,HSP90B1,,E2RB37
EIF4G2,,FARSA,EIF5,CDH1,RPS14,,E2R8L3
EIF4G3,,FARSB,Eif5a,CDH13,ATP6V1D,,F6X958
EIF5,,FASN,EIF5B,CDIPT,USP43,,F1PAP5
EIF5A,,FBL,eif6,CDK18,AK2,,E2RNM1
EIF5B,,FBLN1,ELMO1,CDK4,DCTN1,,E2RMA3
EIF6,,FECH,Elmo3,CDK5,CAPZA1,,E2RMA1
ELAVL1,,FERMT2,ELP3,CDK6,CORO1B,,L7N0B2
ELMO3,,FGA,EMC1,CDK9,RPS23,,H2B3G5
ELP3,,FGB,EMC3,CDKN2AIP,ACTC1,,F6XIB7
EMD,,FGG,Eml1,CDS2,SEPHS1,,A0A0A0MPC0
